Id,Age,WorkingCondition,FinalWeight,Education,YearsOfEducation,MaritalStatus,Occupation,Relationship,Ethnicity,Gender,InvestmentGains,InvestmentLosses,WeeklyWorkHours,CountryOfOrigin,MonthlyIncome
3613,23,Private,165064,College,10,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,40,United-States,0
19101,38,Private,366618,HighSchoolGraduate,9,Divorced,CraftRepair,NotInFamily,White,Male,0,0,40,United-States,0
28627,64,Private,148606,10th,6,Separated,OtherService,NotInFamily,White,Female,0,0,35,United-States,0
21991,34,Private,356882,College,10,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,45,United-States,1
5941,41,LocalGovernment,174575,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
24935,70,Private,195739,10th,6,Widowed,CraftRepair,Unmarried,White,Male,0,0,45,United-States,0
2761,36,Private,182954,College,10,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,52,Dominican-Republic,0
15560,25,Private,248612,AssociatesAcademy,12,NeverMarried,CraftRepair,NotInFamily,White,Male,0,0,30,United-States,0
3504,42,SelfEmployedNotIncluded,178780,Masters,14,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,50,United-States,1
248,40,Private,77313,Bachelors,13,NeverMarried,ExecutiveManagerial,NotInFamily,White,Female,0,0,60,United-States,1
20611,30,Private,158420,Bachelors,13,NeverMarried,ProfessionalSpecialty,NotInFamily,White,Male,0,0,50,Iran,0
34105,32,Private,440129,College,10,MarriedCivilianSpouse,HandlersCleaners,Husband,White,Male,0,0,38,Mexico,0
1941,56,SelfEmployedNotIncluded,110238,Bachelors,13,MarriedAbsentSpouse,ProfessionalSpecialty,NotInFamily,White,Female,0,0,40,United-States,1
7181,19,Private,176806,9th,5,MarriedCivilianSpouse,TransportMoving,Husband,White,Male,0,0,40,United-States,0
8545,47,SelfEmployedNotIncluded,134671,HighSchoolGraduate,9,MarriedAbsentSpouse,CraftRepair,NotInFamily,White,Male,0,0,40,United-States,0
451,48,Private,105138,HighSchoolGraduate,9,Divorced,ExecutiveManagerial,Unmarried,AsianPacificIslander,Female,0,0,40,United-States,0
23914,41,Private,204415,11th,7,Divorced,HandlersCleaners,NotInFamily,White,Male,0,0,48,United-States,0
17699,40,Private,224910,HighSchoolGraduate,9,NeverMarried,MachinesOperationInspector,NotInFamily,White,Female,0,0,40,United-States,0
25144,36,Private,99146,College,10,MarriedCivilianSpouse,MachinesOperationInspector,Husband,White,Male,0,1887,40,United-States,1
23019,34,Private,243165,Bachelors,13,MarriedCivilianSpouse,OtherService,Husband,White,Male,0,0,30,United-States,1
17753,59,Private,147989,College,10,MarriedCivilianSpouse,TechSupport,Husband,White,Male,0,0,50,United-States,1
27262,51,Private,215854,Bachelors,13,Divorced,ProfessionalSpecialty,NotInFamily,White,Female,0,0,50,United-States,0
4721,48,Private,55237,Bachelors,13,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,45,United-States,1
29978,31,Private,147654,HighSchoolGraduate,9,NeverMarried,ExecutiveManagerial,OwnChild,White,Male,0,0,40,United-States,0
30723,47,FederalGovernment,197332,Bachelors,13,Divorced,ProfessionalSpecialty,NotInFamily,White,Male,0,0,40,United-States,0
26031,42,Private,222011,College,10,Divorced,Sales,Unmarried,White,Female,0,0,43,United-States,0
19420,24,Private,354691,12th,8,NeverMarried,CraftRepair,NotInFamily,White,Male,0,0,40,United-States,0
16903,32,Private,221680,Bachelors,13,NeverMarried,MachinesOperationInspector,NotInFamily,White,Male,0,0,40,United-States,0
1064,28,Private,192237,College,10,NeverMarried,Sales,OwnChild,White,Male,0,0,35,United-States,0
17965,26,,296372,HighSchoolGraduate,9,Divorced,,OwnChild,White,Female,0,0,40,United-States,0
7892,17,Private,142912,10th,6,NeverMarried,OtherService,OwnChild,White,Male,0,0,40,United-States,0
32006,17,Private,124661,11th,7,NeverMarried,Sales,OwnChild,White,Female,0,0,35,United-States,0
9274,37,StateGovernment,49105,HighSchoolGraduate,9,Divorced,AdministrativeClerk,Unmarried,White,Female,0,0,25,United-States,0
8905,20,Private,210444,College,10,NeverMarried,ProfessionalSpecialty,OwnChild,White,Male,0,0,25,United-States,0
13515,53,Private,287317,HighSchoolGraduate,9,Divorced,OtherService,NotInFamily,Black,Male,0,0,40,United-States,0
7553,53,SelfEmployedNotIncluded,385183,College,10,MarriedCivilianSpouse,OtherService,Husband,White,Male,0,0,60,United-States,0
24754,27,Private,190303,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
15855,35,Private,95653,HighSchoolGraduate,9,Divorced,CraftRepair,NotInFamily,White,Male,0,0,56,United-States,0
3662,46,Private,155659,College,10,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,15024,0,45,United-States,1
32384,40,SelfEmployedNotIncluded,406811,College,10,MarriedCivilianSpouse,ProfessionalSpecialty,Wife,White,Female,0,0,40,United-States,1
22706,29,Private,31935,HighSchoolGraduate,9,Divorced,ProfessionalSpecialty,NotInFamily,White,Female,0,0,40,United-States,0
13911,19,Private,87653,College,10,NeverMarried,OtherService,OwnChild,White,Female,0,0,25,United-States,0
6910,24,Private,124971,HighSchoolGraduate,9,NeverMarried,Sales,NotInFamily,White,Male,0,0,38,United-States,0
18760,42,LocalGovernment,125155,HighSchoolGraduate,9,MarriedCivilianSpouse,ProtectiveServices,Husband,White,Male,0,0,90,United-States,0
11404,54,Private,77336,HighSchoolGraduate,9,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,40,United-States,0
9385,26,Private,78258,AssociatesVocationalSchool,11,Divorced,ProfessionalSpecialty,Unmarried,White,Female,0,0,36,United-States,0
24753,52,Private,49243,HighSchoolGraduate,9,MarriedCivilianSpouse,MachinesOperationInspector,Husband,White,Male,0,0,40,United-States,0
12282,18,Private,145643,11th,7,NeverMarried,OtherService,OwnChild,White,Female,0,0,9,United-States,0
27684,60,Private,180632,12th,8,Divorced,FarmingFishing,NotInFamily,White,Male,0,0,40,United-States,0
16386,47,Private,368561,College,10,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,1
20764,22,Private,197838,Bachelors,13,NeverMarried,ExecutiveManagerial,NotInFamily,White,Male,0,0,40,United-States,0
12597,43,Private,141327,HighSchoolGraduate,9,Divorced,MachinesOperationInspector,NotInFamily,White,Female,0,0,40,United-States,0
31210,41,Private,132633,11th,7,Divorced,PrivateHouseServant,Unmarried,White,Female,0,0,25,Guatemala,0
23240,37,Private,277022,HighSchoolGraduate,9,NeverMarried,HandlersCleaners,Unmarried,White,Female,3887,0,40,Nicaragua,0
12086,31,Private,118161,HighSchoolGraduate,9,MarriedCivilianSpouse,OtherService,Husband,White,Male,0,0,40,United-States,0
25541,36,FederalGovernment,112847,Bachelors,13,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,AsianPacificIslander,Male,0,0,40,United-States,0
31770,31,SelfEmployedNotIncluded,369648,AssociatesAcademy,12,MarriedCivilianSpouse,CraftRepair,NotInFamily,White,Male,0,0,50,United-States,1
31573,49,Private,183013,HighSchoolGraduate,9,MarriedCivilianSpouse,FarmingFishing,Husband,White,Male,0,0,40,United-States,0
27028,45,Private,355781,Bachelors,13,MarriedCivilianSpouse,ExecutiveManagerial,Husband,AsianPacificIslander,Male,0,0,45,Japan,1
11829,21,Private,216672,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
12514,19,Private,100009,College,10,NeverMarried,Sales,OwnChild,White,Female,0,0,15,United-States,0
20674,37,Private,211168,College,10,MarriedCivilianSpouse,TechSupport,Wife,White,Female,0,0,35,United-States,0
26813,44,Private,219155,College,10,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,50,England,1
32769,65,,38189,HighSchoolGraduate,9,NeverMarried,,NotInFamily,Black,Male,2346,0,40,United-States,0
12866,35,Private,276153,Bachelors,13,NeverMarried,TechSupport,NotInFamily,AsianPacificIslander,Female,4650,0,40,United-States,0
28851,24,Private,176580,5th-6th,3,MarriedAbsentSpouse,FarmingFishing,NotInFamily,White,Male,0,0,40,Mexico,0
28357,46,Private,106662,Bachelors,13,Separated,Sales,NotInFamily,White,Male,99999,0,55,United-States,1
27788,29,Private,217200,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
12849,38,FederalGovernment,174778,College,10,NeverMarried,AdministrativeClerk,NotInFamily,White,Female,0,1980,40,United-States,0
30292,37,Private,486194,College,10,NeverMarried,ExecutiveManagerial,NotInFamily,White,Male,0,0,50,Guatemala,0
28148,31,Private,208458,HighSchoolGraduate,9,Divorced,Sales,Unmarried,Other,Female,0,0,40,Mexico,0
4480,34,Private,134737,Masters,14,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,7688,0,55,United-States,1
11105,23,Private,220993,College,10,NeverMarried,OtherService,OwnChild,White,Male,0,0,35,United-States,0
16266,41,Private,57233,Bachelors,13,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,70,United-States,0
13876,25,Private,306352,AssociatesVocationalSchool,11,MarriedCivilianSpouse,TechSupport,Husband,White,Male,0,0,40,Mexico,0
21937,28,FederalGovernment,329426,Bachelors,13,NeverMarried,ExecutiveManagerial,NotInFamily,White,Male,0,0,40,United-States,0
30331,22,Private,113062,Bachelors,13,NeverMarried,ExecutiveManagerial,OwnChild,White,Female,0,0,7,United-States,0
22005,29,Private,217424,Masters,14,NeverMarried,ExecutiveManagerial,NotInFamily,White,Female,0,0,50,United-States,1
19994,49,LocalGovernment,229337,HighSchoolGraduate,9,Separated,OtherService,NotInFamily,White,Male,0,0,40,United-States,0
17786,29,Private,53147,HighSchoolGraduate,9,NeverMarried,AdministrativeClerk,NotInFamily,Black,Male,0,0,37,United-States,0
20917,22,,185357,College,10,NeverMarried,,OwnChild,White,Male,0,0,50,United-States,0
1107,60,Private,238913,Bachelors,13,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,46,United-States,1
6811,43,Private,111483,College,10,MarriedCivilianSpouse,Sales,Husband,White,Male,7298,0,40,United-States,1
24764,88,SelfEmployedNotIncluded,187097,ProfessionalSchool,15,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,40,United-States,0
4027,36,Private,208068,PreSchool,1,Divorced,OtherService,NotInFamily,Other,Male,0,0,72,Mexico,0
34099,33,Private,204780,College,10,MarriedCivilianSpouse,AdministrativeClerk,Wife,White,Female,15024,0,40,United-States,1
6326,65,Private,153522,HighSchoolGraduate,9,Widowed,OtherService,Unmarried,White,Female,0,0,17,United-States,0
31186,35,Private,49749,College,10,Divorced,AdministrativeClerk,NotInFamily,White,Female,0,0,40,United-States,1
721,40,Private,168071,AssociatesAcademy,12,Divorced,ProfessionalSpecialty,NotInFamily,White,Male,0,0,50,United-States,0
19743,19,Private,570002,College,10,NeverMarried,Sales,OwnChild,White,Female,0,0,25,United-States,0
31236,19,Private,571853,HighSchoolGraduate,9,NeverMarried,OtherService,OwnChild,White,Male,0,0,30,United-States,0
33491,29,FederalGovernment,360527,Masters,14,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,0,0,40,United-States,1
17366,42,Private,191149,HighSchoolGraduate,9,MarriedCivilianSpouse,Sales,Wife,White,Female,0,0,40,United-States,1
13986,32,,339099,College,10,NeverMarried,,Unmarried,Black,Female,0,0,40,United-States,0
22311,18,Private,118376,College,10,NeverMarried,Sales,OwnChild,White,Female,0,0,15,United-States,0
25645,51,Private,257126,10th,6,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
5806,66,Private,78855,HighSchoolGraduate,9,NeverMarried,AdministrativeClerk,NotInFamily,AsianPacificIslander,Female,0,0,40,United-States,0
14477,25,Private,235795,AssociatesAcademy,12,NeverMarried,Sales,NotInFamily,White,Male,0,0,48,United-States,0
11306,42,StateGovernment,102343,ProfessionalSchool,15,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,AsianPacificIslander,Male,0,0,72,India,1
1087,30,Private,183801,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
14372,21,Private,177711,HighSchoolGraduate,9,NeverMarried,TransportMoving,OwnChild,Black,Male,0,0,40,United-States,0
18980,42,SelfEmployedIncluded,188738,Bachelors,13,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,7688,0,40,United-States,1
17446,31,Private,176831,10th,6,Divorced,Sales,OtherRelative,White,Female,0,0,40,United-States,0
9929,20,Private,431745,College,10,NeverMarried,AdministrativeClerk,NotInFamily,Black,Female,0,0,14,United-States,0
20908,40,Private,141583,10th,6,NeverMarried,OtherService,Unmarried,Black,Female,0,0,40,United-States,0
19131,33,Private,192002,Masters,14,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,7298,0,60,Canada,1
23037,57,Private,218649,HighSchoolGraduate,9,MarriedCivilianSpouse,HandlersCleaners,Husband,White,Male,0,0,40,United-States,0
6780,63,Private,236338,HighSchoolGraduate,9,MarriedCivilianSpouse,Sales,Wife,White,Female,0,0,35,United-States,0
10091,47,LocalGovernment,198660,Bachelors,13,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,0,0,40,United-States,1
20123,36,Private,186819,AssociatesAcademy,12,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,52,United-States,1
2333,33,Private,119409,HighSchoolGraduate,9,MarriedCivilianSpouse,MachinesOperationInspector,Wife,Other,Female,0,0,40,Columbia,0
22481,42,Private,177989,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
15777,31,Private,143653,AssociatesVocationalSchool,11,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,50,United-States,0
32850,42,SelfEmployedNotIncluded,152889,College,10,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,52,United-States,0
25379,27,Private,277760,HighSchoolGraduate,9,Divorced,ExecutiveManagerial,Unmarried,White,Female,0,0,40,United-States,0
10469,38,Private,252662,Bachelors,13,Divorced,ExecutiveManagerial,NotInFamily,White,Male,0,0,40,United-States,0
12485,30,LocalGovernment,268482,College,10,NeverMarried,CraftRepair,OwnChild,White,Male,0,0,40,United-States,0
33109,49,Private,235095,11th,7,MarriedCivilianSpouse,TransportMoving,Husband,White,Male,0,0,40,United-States,0
2146,28,Private,156967,HighSchoolGraduate,9,Divorced,AdministrativeClerk,Unmarried,White,Female,0,0,40,United-States,0
27618,45,Private,187730,Bachelors,13,NeverMarried,ProfessionalSpecialty,OwnChild,White,Male,0,0,40,United-States,0
22533,21,Private,416103,HighSchoolGraduate,9,NeverMarried,MachinesOperationInspector,OwnChild,White,Male,0,0,40,United-States,0
